Date,"Agriculture, Hunting, and Forestry",Fishing and Aquaculture,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam, and Air Conditioning Supply","Water Supply; Sewerage, Waste Management, and Remediation Activities",Construction,Wholesale and Retail Trade; Repair of Motor Vehicles,Transportation and Storage,Accomodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific, and Technical Activities",Administrative and Support Service Activities,Public Administration and Defense; Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment, and Recreation",Other Service Activities
1/1/2018,9842.0,1027.0,215.0,3549.0,102.0,46.0,3640.0,8273.0,3314.0,1717.0,366.0,492.0,211.0,228.0,1587.0,2414.0,1187.0,484.0,360.0,2697.0
4/1/2018,8688.0,1103.0,215.0,3644.0,101.0,64.0,4012.0,7909.0,3176.0,1642.0,433.0,562.0,185.0,300.0,1589.0,2511.0,1103.0,543.0,395.0,2716.0
7/1/2018,8110.0,1269.0,207.0,3638.0,73.0,76.0,3895.0,7806.0,3225.0,1689.0,416.0,577.0,221.0,281.0,1590.0,2625.0,1239.0,349.0,163.0,2137.0
10/1/2018,8850.0,1104.0,188.0,3669.0,74.0,60.0,3913.0,7993.0,3164.0,1859.0,399.0,531.0,197.0,290.0,1573.0,2687.0,1256.0,515.0,343.0,2655.0
1/1/2019,7975.0,1192.0,191.0,3657.0,99.0,79.0,4133.0,8073.0,3417.0,1801.0,403.0,585.0,251.0,317.0,1563.0,2655.0,1272.0,525.0,388.0,2801.0
4/1/2019,8181.0,1232.0,168.0,3541.0,108.0,67.0,4221.0,8559.0,3557.0,1892.0,451.0,546.0,187.0,290.0,1711.0,2805.0,1159.0,565.0,432.0,2569.0
7/1/2019,8622.0,1470.0,211.0,3664.0,75.0,55.0,4035.0,8634.0,3253.0,1979.0,424.0,554.0,256.0,303.0,1698.0,2864.0,1292.0,491.0,429.0,2643.0
10/1/2019,8803.0,1318.0,168.0,3611.0,83.0,56.0,4222.0,8546.0,3501.0,1999.0,424.0,641.0,233.0,305.0,1658.0,2815.0,1407.0,591.0,342.0,2421.0
1/1/2020,8459.0,1166.0,184.0,3634.0,108.0,62.0,4001.0,8590.0,3398.0,2013.0,372.0,626.0,210.0,270.0,1664.0,2786.0,1349.0,566.0,394.0,2686.0
4/1/2020,7661.0,1101.0,154.0,2699.0,61.0,48.0,2792.0,6459.0,2593.0,1236.0,267.0,438.0,163.0,233.0,1503.0,2482.0,1142.0,460.0,197.0,2144.0
7/1/2020,9750.0,1117.0,243.0,3373.0,83.0,52.0,4031.0,8891.0,2914.0,1280.0,306.0,558.0,218.0,249.0,1535.0,2558.0,1192.0,544.0,117.0,2286.0
10/1/2020,8427.0,1335.0,156.0,3029.0,71.0,70.0,3974.0,8384.0,2824.0,1343.0,453.0,601.0,177.0,289.0,1734.0,2427.0,1461.0,599.0,214.0,2268.0
1/1/2021,8923.0,1121.0,177.0,3140.0,70.0,63.0,4151.0,8639.0,2939.0,1406.0,464.0,618.0,196.0,282.0,1765.0,2483.0,1439.0,632.0,269.0,2468.0
4/1/2021,9210.0,1350.0,192.0,3420.0,71.0,64.0,4137.0,9850.0,2858.0,1389.0,373.0,598.0,193.0,269.0,1728.0,2610.0,1507.0,599.0,267.0,2583.0
7/1/2021,7985.0,1201.0,202.0,3528.0,84.0,92.0,4386.0,8524.0,2966.0,1404.0,478.0,633.0,198.0,431.0,2044.0,2679.0,1362.0,670.0,318.0,2485.0
10/1/2021,9416.0,1352.0,170.0,3321.0,65.0,105.0,4151.0,9704.0,2837.0,1473.0,450.0,592.0,212.0,313.0,1950.0,2714.0,1417.0,739.0,332.0,2509.0
